constraint_type,constraint_label,wealth_multiplier,run_id,mean_reversion_beta,mean_reversion_alpha,mean_reversion_r2,price_variance,log_deviation_variance,return_volatility,final_price,max_drawdown
buyer_cash_only,Buyer cash only,0.5,39,-0.0031701120942157213,-0.007809873661080077,0.22704242502761862,473.4149010848587,0.3010145282435854,0.0036470892372626605,13.972124010965686,-0.8610846006253425
buyer_cash_only,Buyer cash only,0.5,40,-0.0031522418683376918,-0.007804022402770763,0.2256943938829039,479.36087520976355,0.3059135580378325,0.0036669504194706956,13.937249334381267,-0.8606275066561874
buyer_cash_only,Buyer cash only,0.5,41,-0.0032343558322811277,-0.007732637288923962,0.2230798357056576,481.9256136580422,0.29061632974013835,0.003688703923192452,14.61180830739783,-0.8547392271407122
buyer_cash_only,Buyer cash only,0.5,42,-0.002985016365130276,-0.007174078337396384,0.17988016740604584,485.51849736694527,0.2787155435546821,0.0037125523058497223,15.4488909592278,-0.8461457501761287
buyer_cash_only,Buyer cash only,0.5,43,-0.0030135431160671715,-0.007683199933414868,0.20517738592743118,482.9857795697386,0.3125076812669769,0.003715921560373493,13.645576763370466,-0.8635574319558704
buyer_cash_only,Buyer cash only,0.5,44,-0.0033293210090093103,-0.007468510645862129,0.2186738529161375,483.61808850232774,0.2758536863221857,0.003737249450416196,16.335320280724247,-0.8374899071746942
buyer_cash_only,Buyer cash only,0.5,45,-0.003553936854852353,-0.007644259497403961,0.2121978723146789,455.7910890898302,0.2585169465261394,0.003920386393770237,16.75594365310796,-0.8353810676862699
buyer_cash_only,Buyer cash only,0.5,46,-0.002996313349833924,-0.007174045947089269,0.1992003785722981,485.05025913072876,0.2705348464910311,0.003488607845423842,15.431757481611315,-0.8470999052130951
buyer_cash_only,Buyer cash only,0.5,47,-0.0029705448972382116,-0.007236486778333923,0.20388813781392656,484.06401757867866,0.2869018853286756,0.0035208843967128875,15.143517781187299,-0.8502090712276539
buyer_cash_only,Buyer cash only,0.5,48,-0.003303824050943856,-0.0073006807867528264,0.22787732902306745,493.4348315986237,0.27353988290061654,0.0036180138594384356,16.991576328691686,-0.8300863641001224
buyer_cash_only,Buyer cash only,0.5,49,-0.003170752054258095,-0.007464874362583462,0.18087622864213082,464.66156093825015,0.269932003053884,0.003869886608390725,15.17521827372024,-0.849567235039189
buyer_cash_only,Buyer cash only,0.5,50,-0.0028826632396694563,-0.0072228598901155185,0.20239077820153106,508.1841523204234,0.3063950920237218,0.0035442518290931717,14.827489043509415,-0.8518982811380743
buyer_cash_only,Buyer cash only,0.5,51,-0.0029937680792764074,-0.007366897225351569,0.20395345265935627,472.9674510951585,0.29294000843434376,0.003584934358098585,14.743088043104194,-0.8532360720945733
buyer_cash_only,Buyer cash only,0.5,52,-0.0029861234016398622,-0.0073746546932593315,0.20352263994158226,497.68632880653735,0.30063599407998587,0.0036265411987029157,14.739836090423672,-0.8526781692883989
buyer_cash_only,Buyer cash only,0.5,53,-0.0032237373099243674,-0.007613925952982142,0.20585696501616335,483.44466473452854,0.28485379201334216,0.003789248875829452,15.016302946578712,-0.8511521186258663
buyer_cash_only,Buyer cash only,0.5,54,-0.002837676550184441,-0.007137418770598734,0.18569237496478663,487.82815567524267,0.2920606663587209,0.0035556232721941088,14.787897468278246,-0.8529695295523743
buyer_cash_only,Buyer cash only,0.5,55,-0.0028634813215213605,-0.007186575540853638,0.1762995567594111,491.7769580165199,0.292699859702929,0.003686335540582941,14.729083314240338,-0.8532224650674565
buyer_cash_only,Buyer cash only,0.5,56,-0.003295521756945131,-0.007504813444815409,0.25358553179563403,476.7231699713571,0.27637163503705264,0.0034381719326594382,15.924753391696452,-0.8409998476513626
buyer_cash_only,Buyer cash only,0.5,57,-0.002991859479228176,-0.007310640961219262,0.20209756413794044,501.21804709878097,0.29866805921468337,0.0036345176413229863,15.061970763038484,-0.8495847028520144
buyer_cash_only,Buyer cash only,0.5,58,-0.0027280705143003796,-0.007150698423618478,0.16639007503623937,489.07319140751025,0.2975325274797468,0.0036442617330285317,14.064983485082017,-0.8597152977330879
buyer_cash_only,Buyer cash only,0.5,59,-0.0034803121314921476,-0.007912257031582026,0.23379892399610436,461.5569546612869,0.2733392306052836,0.0037602419289025904,15.182788273027011,-0.8482084965611076
buyer_cash_only,Buyer cash only,0.5,60,-0.0030720526421627566,-0.007332963927245884,0.1999438170688873,473.8025955461659,0.27932687191267375,0.003628016179328015,15.269431944071247,-0.8481382742865485
buyer_cash_only,Buyer cash only,0.5,61,-0.003341069238955377,-0.007905212646467869,0.22234929761932565,470.8792480457272,0.28922344137670747,0.003807518662747477,14.513151532637554,-0.8549397787990984
buyer_cash_only,Buyer cash only,0.5,62,-0.0033497754452074735,-0.007835392690383422,0.23920449384310616,469.7101751530661,0.28934016290514614,0.0036815454691099593,14.89236270754196,-0.8515436169594871
buyer_cash_only,Buyer cash only,0.5,63,-0.003100625504015013,-0.007523315600720122,0.20796643347053723,486.4771123516157,0.2971219491362291,0.003703370167140943,14.768142821177367,-0.852984396468937
buyer_cash_only,Buyer cash only,0.5,64,-0.0025338330087814913,-0.006916264913023488,0.1447510058716901,501.3886051474212,0.31296477071793616,0.003722162927850154,14.029867723664854,-0.8597269985202679
buyer_cash_only,Buyer cash only,0.5,65,-0.003071457105662366,-0.007522564467724726,0.21268062011033273,488.35608648898113,0.2995021729212057,0.0036420707285245396,14.605238051317466,-0.8544408316017434
buyer_cash_only,Buyer cash only,0.5,66,-0.0032381049114613533,-0.007558608601928537,0.22866966897683638,494.4847785101085,0.2950106622180609,0.003675871903096374,15.517636014288215,-0.8452016437248837
buyer_cash_only,Buyer cash only,0.5,67,-0.0027919401095736463,-0.007549063797035788,0.20213295568671252,520.6104554900313,0.3465622223273506,0.003652980430491213,13.123043850674662,-0.8687695614932534
